SimNr;Rep;Ni;r;K;N_A_fix;N_a_fix;N_B_fix;N_b_fix;s_A;s_B;attempts;h_A;h_B;p_A_i;p_B_i;Prob_A_fix;sd_A_fix;Aver_A_gen;sd_A_gen;Prob_a_fix;sd_a_fix;Aver_a_gen;sd_a_gen;Prob_B_fix;sd_B_fix;Aver_B_gen;sd_B_gen;Prob_b_fix;sd_b_fix;Aver_b_gen;sd_b_gen;Total_Gens
2;17;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1180.06300000;283.55763970;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1201.07600000;285.73887069;0.00000000;0.00000000;nan;nan;1349.48
2;18;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1179.52200000;273.97317664;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1175.04600000;282.87860627;0.00000000;0.00000000;nan;nan;1329.65
2;19;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1184.23200000;280.53837915;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1190.09700000;283.84821928;0.00000000;0.00000000;nan;nan;1343.71
2;20;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1185.28000000;279.23276240;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1183.70200000;287.90072802;0.00000000;0.00000000;nan;nan;1340.74
1;1;10;0.06;1000;901.57;690.94;911.02;690.16;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87500000;0.01045825;263.01828571;187.61129332;0.12500000;0.01045825;23.76800000;19.64164392;0.83800000;0.01165144;610.82577566;478.43796226;0.16200000;0.01165144;56.11728395;96.11897115;599.47
1;2;10;0.06;1000;898.75;646.14;896.43;712.84;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86000000;0.01097269;258.27441860;185.01299526;0.14000000;0.01097269;23.32142857;21.24290398;0.82000000;0.01214907;580.32682927;479.94110463;0.18000000;0.01214907;59.80555556;106.41366335;572.46
1;3;10;0.06;1000;898.51;685.66;918.12;684.79;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89700000;0.00961202;250.92642140;185.05456468;0.10300000;0.00961202;27.66019417;31.96130956;0.82200000;0.01209612;580.23114355;474.53568302;0.17800000;0.01209612;74.87640449;161.22120474;570.59
1;4;10;0.06;1000;915.15;671.84;920.97;723.49;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87700000;0.01038610;254.42645382;187.41661622;0.12300000;0.01038610;24.89430894;32.55909275;0.81900000;0.01217534;590.81929182;465.33932012;0.18100000;0.01217534;61.22651934;124.26779390;580.12
1;5;10;0.06;1000;907.04;708.12;916.58;733.55;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88600000;0.01005007;249.96839729;172.65686137;0.11400000;0.01005007;26.99122807;32.94026907;0.82400000;0.01204259;583.19174757;487.29311979;0.17600000;0.01204259;78.42045455;147.32560735;574.97
1;6;10;0.06;1000;905.12;672.73;926.70;635.08;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87200000;0.01056485;249.74082569;181.36756683;0.12800000;0.01056485;26.46093750;35.72811882;0.82400000;0.01204259;605.69660194;482.75017428;0.17600000;0.01204259;48.82386364;112.23057485;586.79
1;7;10;0.06;1000;916.83;619.78;908.90;747.55;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87500000;0.01045825;254.12228571;182.31481694;0.12500000;0.01045825;25.61600000;38.54945582;0.81900000;0.01217534;580.89865690;477.74630491;0.18100000;0.01217534;73.52486188;157.33774661;570.78
1;8;10;0.06;1000;921.22;669.38;918.15;729.58;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86200000;0.01090670;262.80742459;191.46849175;0.13800000;0.01090670;29.38405797;31.91776627;0.83200000;0.01182269;599.69711538;475.89216780;0.16800000;0.01182269;50.97023810;91.90227895;592.02
1;9;10;0.06;1000;910.17;680.94;908.86;743.39;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86000000;0.01097269;257.17674419;183.56219127;0.14000000;0.01097269;25.38571429;23.84041758;0.81400000;0.01230463;571.50614251;477.71517460;0.18600000;0.01230463;53.08602151;97.21505436;566.50
1;10;10;0.06;1000;900.47;704.42;905.54;694.71;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.85700000;0.01107028;265.97899650;181.49303525;0.14300000;0.01107028;29.13286713;33.30600604;0.84300000;0.01150439;556.72360617;456.71440806;0.15700000;0.01150439;62.61146497;113.85887173;562.79
1;11;10;0.06;1000;895.42;637.32;906.53;679.68;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89100000;0.00985490;256.37598204;190.09767424;0.10900000;0.00985490;21.59633028;15.61351994;0.82700000;0.01196123;596.54655381;504.35273562;0.17300000;0.01196123;48.07514451;95.81159327;589.78
1;12;10;0.06;1000;904.34;632.96;908.04;678.14;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87300000;0.01052953;252.37800687;182.30577783;0.12700000;0.01052953;21.19685039;14.10480421;0.83400000;0.01176622;602.27817746;471.89326246;0.16600000;0.01176622;48.80722892;146.59188145;587.33
1;13;10;0.06;1000;895.38;685.95;917.46;649.92;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86400000;0.01083993;256.85300926;182.61464034;0.13600000;0.01083993;22.02205882;20.83459613;0.81100000;0.01238059;589.78914920;466.46783688;0.18900000;0.01238059;75.62962963;145.95523837;571.31
1;14;10;0.06;1000;909.52;672.73;919.87;734.27;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89400000;0.00973468;251.82326622;183.74551411;0.10600000;0.00973468;27.27358491;30.11535464;0.80900000;0.01243057;617.15698393;486.15554880;0.19100000;0.01243057;51.69633508;94.67520636;596.36
1;15;10;0.06;1000;914.16;631.25;919.57;668.99;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87300000;0.01052953;256.02290951;178.60935232;0.12700000;0.01052953;22.70866142;13.59487527;0.83500000;0.01173776;587.34730539;477.96066694;0.16500000;0.01173776;68.08484848;116.97160526;583.71
1;16;10;0.06;1000;916.60;689.12;924.67;670.74;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.85800000;0.01103793;246.69580420;187.54754985;0.14200000;0.01103793;27.53521127;33.69658778;0.84100000;0.01156369;646.72175981;499.40001444;0.15900000;0.01156369;68.57232704;139.93832690;624.45
1;17;10;0.06;1000;908.86;690.99;915.84;689.88;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86300000;0.01087341;266.02317497;182.04562331;0.13700000;0.01087341;23.65693431;21.08184882;0.83700000;0.01168037;628.90083632;503.52380356;0.16300000;0.01168037;38.97546012;67.65465817;615.09
1;18;10;0.06;1000;920.59;709.49;927.39;748.87;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88000000;0.01027619;259.01931818;179.31921978;0.12000000;0.01027619;26.72500000;25.86405566;0.82000000;0.01214907;615.84512195;490.98745865;0.18000000;0.01214907;60.45555556;115.61551810;600.35
1;19;10;0.06;1000;902.43;645.03;908.41;719.79;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89500000;0.00969407;248.39664804;184.91640929;0.10500000;0.00969407;28.90476190;29.61065568;0.82500000;0.01201561;594.89939394;499.40620334;0.17500000;0.01201561;68.55428571;151.06182716;583.52
1;20;10;0.06;1000;908.27;717.98;921.39;710.98;0.03;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88100000;0.01023909;247.20317821;184.54371940;0.11900000;0.01023909;23.93277311;22.52868614;0.83000000;0.01187855;601.56987952;474.49779596;0.17000000;0.01187855;63.02352941;111.24101830;589.88
2;1;10;0.06;1000;872.94;599.86;888.99;599.64;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90300000;0.00935901;158.19712071;116.47341491;0.09700000;0.00935901;22.14432990;20.03192796;0.85300000;0.01119781;349.27667057;264.45602268;0.14700000;0.01119781;25.52380952;26.38782788;350.24
2;2;10;0.06;1000;892.26;688.32;900.96;666.83;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89800000;0.00957058;168.07349666;115.85013142;0.10200000;0.00957058;25.50980392;18.55185900;0.87400000;0.01049400;349.14073227;254.47041452;0.12600000;0.01049400;28.53174603;33.73912206;356.71
2;3;10;0.06;1000;885.66;738.73;912.09;624.69;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90600000;0.00922843;164.13907285;116.89930988;0.09400000;0.00922843;19.87234043;10.95953296;0.86000000;0.01097269;359.62558140;252.22828677;0.14000000;0.01097269;32.05000000;42.25151308;360.14
2;4;10;0.06;1000;890.31;646.58;901.86;616.44;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90800000;0.00913980;164.00220264;117.87096280;0.09200000;0.00913980;21.97826087;17.31986687;0.88100000;0.01023909;354.30419977;250.65322259;0.11900000;0.01023909;30.12605042;46.60067346;360.90
2;5;10;0.06;1000;880.40;758.87;906.23;631.88;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90100000;0.00944452;163.93562708;117.67155642;0.09900000;0.00944452;20.63636364;13.56872112;0.86200000;0.01090670;344.11252900;249.80502393;0.13800000;0.01090670;39.73188406;60.16481468;349.65
2;6;10;0.06;1000;906.90;661.71;922.13;686.73;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.92100000;0.00852989;174.04668838;120.51412211;0.07900000;0.00852989;20.81012658;15.09134713;0.85300000;0.01119781;371.34818288;268.79103131;0.14700000;0.01119781;30.62585034;49.40905352;378.66
2;7;10;0.06;1000;888.71;681.70;898.98;689.68;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90300000;0.00935901;165.82170543;120.69803573;0.09700000;0.00935901;21.26804124;16.98423494;0.85500000;0.01113441;355.11345029;256.81628812;0.14500000;0.01113441;36.83448276;72.88488929;360.42
2;8;10;0.06;1000;868.61;588.94;888.96;581.73;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89700000;0.00961202;155.56967670;115.22666284;0.10300000;0.00961202;18.18446602;12.34515555;0.84000000;0.01159310;353.25714286;261.84640276;0.16000000;0.01159310;39.23750000;71.65302571;349.02
2;9;10;0.06;1000;897.21;680.44;905.16;690.39;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89600000;0.00965319;164.49553571;115.31708025;0.10400000;0.00965319;20.40384615;13.68921475;0.85800000;0.01103793;352.57808858;265.51784576;0.14200000;0.01103793;36.79577465;48.35076339;356.16
2;10;10;0.06;1000;892.77;703.57;914.21;601.72;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89200000;0.00981509;164.32735426;120.01706910;0.10800000;0.00981509;22.04629630;15.04276882;0.86600000;0.01077237;369.54849885;264.45881046;0.13400000;0.01077237;32.82835821;50.16889774;373.66
2;11;10;0.06;1000;895.10;622.06;898.49;689.69;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90000000;0.00948683;170.47222222;118.52504801;0.10000000;0.00948683;19.43000000;11.36596234;0.85300000;0.01119781;341.46307151;252.01919875;0.14700000;0.01119781;27.59863946;21.66462362;349.17
2;12;10;0.06;1000;868.70;638.66;886.00;610.94;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90300000;0.00935901;161.03986711;113.57330417;0.09700000;0.00935901;19.37113402;13.50472967;0.85600000;0.01110243;349.13317757;264.91442106;0.14400000;0.01110243;35.98611111;55.33421010;350.67
2;13;10;0.06;1000;897.94;678.91;907.83;668.64;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88900000;0.00993373;168.62542182;121.31256409;0.11100000;0.00993373;21.90090090;16.54094290;0.85700000;0.01107028;343.10151692;254.82620927;0.14300000;0.01107028;31.48251748;41.36649317;352.00
2;14;10;0.06;1000;888.10;722.20;902.88;649.68;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90900000;0.00909500;166.99669967;118.57739898;0.09100000;0.00909500;23.52747253;21.96267596;0.88200000;0.01020176;345.08276644;261.50441904;0.11800000;0.01020176;29.36440678;34.47294819;359.08
2;15;10;0.06;1000;883.66;699.16;905.17;602.41;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.91800000;0.00867617;158.91503268;115.60049421;0.08200000;0.00867617;18.71951220;12.60011071;0.87900000;0.01031305;349.80432309;265.46514942;0.12100000;0.01031305;44.20661157;82.09668935;356.63
2;16;10;0.06;1000;887.36;659.71;895.31;664.58;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88900000;0.00993373;163.47356580;116.17947807;0.11100000;0.00993373;21.24324324;14.69707099;0.85600000;0.01110243;353.25116822;271.82292416;0.14400000;0.01110243;38.86805556;53.14462011;358.20
2;17;10;0.06;1000;886.05;744.39;900.36;699.30;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.89100000;0.00985490;168.25028058;119.17598295;0.10900000;0.00985490;19.88990826;13.14585744;0.85200000;0.01122925;347.09507042;269.56759258;0.14800000;0.01122925;30.12162162;48.67222214;357.82
2;18;10;0.06;1000;887.12;744.33;900.30;722.00;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.91000000;0.00904986;167.43516484;118.36536690;0.09000000;0.00904986;22.17777778;16.40432042;0.85400000;0.01116620;346.37822014;259.24739488;0.14600000;0.01116620;33.65068493;51.43523557;355.76
2;19;10;0.06;1000;881.96;750.85;912.31;580.02;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90200000;0.00940191;164.63858093;119.26188449;0.09800000;0.00940191;20.04081633;11.64519553;0.87000000;0.01063485;361.82298851;259.56415888;0.13000000;0.01063485;27.27692308;34.44170446;366.25
2;20;10;0.06;1000;887.86;733.44;907.07;638.44;0.05;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90000000;0.00948683;165.64444444;117.23361398;0.10000000;0.00948683;21.26000000;12.55198789;0.87100000;0.01059995;343.00229621;259.84104475;0.12900000;0.01059995;31.08527132;45.23068023;354.17
